Membership No  Date Joined  Active  
    58061      2019-1-19    no    
    19142      2015-9-19    no    
    74636      2020-10-2    no    
    39243      2015-6-14    no    
    24159      2017-3-17    no    
    60816      2017-2-7     no    
    24987      2020-5-2     no    
    31406      2020-3-19    no    
    98023      2016-7-10    no    
    43979      2016-9-20    no    
    86642      2017-1-14    no    
    87968      2020-1-20    no    
    86858      2020-1-15    no    
    17818      2019-12-18   no    
    61102      2017-8-21    no    
